File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ01/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,394104.18,38429.3,8393.99,30282.85,0.0,124743.49,0.0,105136.32,0.0,0.0,0.0,0.0,87118.23,0.0,0.0,0.0,8393.99,38429.3,0.0,82070.96,42672.53
CZ01/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,9913.97,497.22,1.49,991.78,0.0,2139.72,0.0,2603.81,0.0,0.0,0.0,0.0,3679.94,0.0,0.0,497.22,1.49,0.0,0.0,2139.72,0.0
CZ01/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,11941.810000000001,1055.88,5.48,991.78,0.0,2139.72,0.0,4069.19,0.0,0.0,0.0,0.0,3679.77,0.0,0.0,1055.88,5.48,0.0,0.0,2139.72,0.0
CZ01/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1129470.18,156641.95,13310.0,94437.9,0.0,322422.45,0.0,289477.34,0.0,0.0,0.0,0.0,253180.54,0.0,0.0,0.0,13310.0,156641.95,0.0,258328.15,64094.3
CZ01/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1181694.92,174134.4,13055.51,94437.9,0.0,322422.45,0.0,324469.47,0.0,0.0,0.0,0.0,253175.2,0.0,0.0,0.0,13055.51,174134.4,0.0,258328.15,64094.3
CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,421169.83999999997,10689.28,26138.51,30282.85,0.0,124743.49,0.0,149376.55,0.0,0.0,0.0,0.0,79939.15,0.0,0.0,0.0,26138.51,10689.28,0.0,82070.96,42672.53
CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,394752.18,20208.53,26121.85,30282.85,0.0,124743.49,0.0,113467.16,0.0,0.0,0.0,0.0,79928.29,0.0,0.0,0.0,26121.85,20208.53,0.0,82070.96,42672.53
CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,12827.99,139.12,381.13,991.78,0.0,2139.72,0.0,5751.26,0.0,0.0,0.0,0.0,3424.98,0.0,0.0,139.12,381.13,0.0,0.0,2139.72,0.0
CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,12429.779999999999,500.91,580.85,991.78,0.0,2139.72,0.0,4791.57,0.0,0.0,0.0,0.0,3424.95,0.0,0.0,500.91,580.85,0.0,0.0,2139.72,0.0
CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1248712.69,110647.3,62638.46,94437.9,0.0,322422.45,0.0,425986.49,0.0,0.0,0.0,0.0,232580.09,0.0,0.0,0.0,62638.46,110647.3,0.0,258328.15,64094.3
CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1283971.06,129400.27,70340.34,94437.9,0.0,322422.45,0.0,434803.52,0.0,0.0,0.0,0.0,232566.58,0.0,0.0,0.0,70340.34,129400.27,0.0,258328.15,64094.3
CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,402987.38,6452.76,17076.77,30282.85,0.0,124743.49,0.0,144732.63,0.0,0.0,0.0,0.0,79698.89,0.0,0.0,0.0,17076.77,6452.76,0.0,82070.96,42672.53
CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,376018.56999999995,12029.08,17022.35,30282.85,0.0,124743.49,0.0,112238.45,0.0,0.0,0.0,0.0,79702.34,0.0,0.0,0.0,17022.35,12029.08,0.0,82070.96,42672.53
CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,9964.24,154.68,105.64,991.78,0.0,2139.72,0.0,3155.25,0.0,0.0,0.0,0.0,3417.17,0.0,0.0,154.68,105.64,0.0,0.0,2139.72,0.0
CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,11924.68,329.34,248.57,991.78,0.0,2139.72,0.0,4798.14,0.0,0.0,0.0,0.0,3417.12,0.0,0.0,329.34,248.57,0.0,0.0,2139.72,0.0
CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1135417.54,77784.54,33720.96,94437.9,0.0,322422.45,0.0,375319.58,0.0,0.0,0.0,0.0,231732.11,0.0,0.0,0.0,33720.96,77784.54,0.0,258328.15,64094.3
CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1189602.22,86747.53,37634.57,94437.9,0.0,322422.45,0.0,416646.64,0.0,0.0,0.0,0.0,231713.13,0.0,0.0,0.0,37634.57,86747.53,0.0,258328.15,64094.3
CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,423448.61,5159.08,30989.31,30282.85,0.0,124743.49,0.0,155397.44,0.0,0.0,0.0,0.0,76876.44,0.0,0.0,0.0,30989.31,5159.08,0.0,82070.96,42672.53
CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,386171.8,9756.34,30483.17,30282.85,0.0,124743.49,0.0,114040.76,0.0,0.0,0.0,0.0,76865.19,0.0,0.0,0.0,30483.17,9756.34,0.0,82070.96,42672.53
CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,10201.05,105.89,395.6,991.78,0.0,2139.72,0.0,3251.38,0.0,0.0,0.0,0.0,3316.68,0.0,0.0,105.89,395.6,0.0,0.0,2139.72,0.0
CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,12133.5,243.09,748.96,991.78,0.0,2139.72,0.0,4693.4,0.0,0.0,0.0,0.0,3316.55,0.0,0.0,243.09,748.96,0.0,0.0,2139.72,0.0
CZ04/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1169686.3,63836.59,75352.22,94437.9,0.0,322422.45,0.0,389905.99,0.0,0.0,0.0,0.0,223731.15,0.0,0.0,0.0,75352.22,63836.59,0.0,258328.15,64094.3
CZ04/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1225072.21,71607.23,85586.53,94437.9,0.0,322422.45,0.0,427302.97,0.0,0.0,0.0,0.0,223715.12,0.0,0.0,0.0,85586.53,71607.23,0.0,258328.15,64094.3
CZ05/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,406422.58999999997,6240.89,20993.9,30282.85,0.0,124743.49,0.0,144451.84,0.0,0.0,0.0,0.0,79709.61,0.0,0.0,0.0,20993.9,6240.89,0.0,82070.96,42672.53
CZ05/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,378384.61,11481.45,20759.9,30282.85,0.0,124743.49,0.0,111420.72,0.0,0.0,0.0,0.0,79696.2,0.0,0.0,0.0,20759.9,11481.45,0.0,82070.96,42672.53
CZ05/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,9847.220000000001,141.25,128.91,991.78,0.0,2139.72,0.0,3028.19,0.0,0.0,0.0,0.0,3417.37,0.0,0.0,141.25,128.91,0.0,0.0,2139.72,0.0
CZ05/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,11862.59,319.65,368.05,991.78,0.0,2139.72,0.0,4626.06,0.0,0.0,0.0,0.0,3417.32,0.0,0.0,319.65,368.05,0.0,0.0,2139.72,0.0
CZ05/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1128114.32,72956.18,42780.13,94437.9,0.0,322422.45,0.0,363764.05,0.0,0.0,0.0,0.0,231753.61,0.0,0.0,0.0,42780.13,72956.18,0.0,258328.15,64094.3
CZ05/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1184691.5899999999,82439.02,49800.78,94437.9,0.0,322422.45,0.0,403849.39,0.0,0.0,0.0,0.0,231742.05,0.0,0.0,0.0,49800.78,82439.02,0.0,258328.15,64094.3
CZ06/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,423747.14,1300.91,31152.87,30282.85,0.0,124743.49,0.0,162840.94,0.0,0.0,0.0,0.0,73426.08,0.0,0.0,0.0,31152.87,1300.91,0.0,82070.96,42672.53
CZ06/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,379269.0,2054.58,29721.41,30282.85,0.0,124743.49,0.0,119046.79,0.0,0.0,0.0,0.0,73419.88,0.0,0.0,0.0,29721.41,2054.58,0.0,82070.96,42672.53
CZ06/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,9970.82,22.55,339.92,991.78,0.0,2139.72,0.0,3282.33,0.0,0.0,0.0,0.0,3194.52,0.0,0.0,22.55,339.92,0.0,0.0,2139.72,0.0
CZ06/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,11904.949999999999,58.67,679.72,991.78,0.0,2139.72,0.0,4840.5,0.0,0.0,0.0,0.0,3194.56,0.0,0.0,58.67,679.72,0.0,0.0,2139.72,0.0
CZ06/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1076693.2000000002,18739.02,63458.31,94437.9,0.0,322422.45,0.0,364155.81,0.0,0.0,0.0,0.0,213479.72,0.0,0.0,0.0,63458.31,18739.02,0.0,258328.15,64094.3
