Name,Parameter,Value
AIRTERMINAL:SINGLEDUCT:VAV:NOREHEAT,Design Size Fixed Minimum Air Flow Rate,8
AIRTERMINAL:SINGLEDUCT:VAV:NOREHEAT,Design Size Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:VAV:NOREHEAT,Fixed Minimum Air Flow Rate,8
AIRTERMINAL:SINGLEDUCT:VAV:NOREHEAT,Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Constant Minimum Air Flow Fraction,7
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Design Size Constant Minimum Air Flow Fraction,7
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Design Size Fixed Minimum Air Flow Rate,8
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Design Size Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Design Size Maximum Flow Fraction During Reheat,18
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Design Size Maximum Flow per Zone Floor Area During Reheat,17
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Design Size Maximum Hot Water or Steam Flow Rate,12
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Fixed Minimum Air Flow Rate,8
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Maximum Air Flow Rate,5
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Maximum Flow Fraction During Reheat,18
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Maximum Flow per Zone Floor Area During Reheat,17
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT,Maximum Hot Water or Steam Flow Rate,12
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT:VARIABLESPEEDFAN,Design Size Maximum Cooling Air Flow Rate,3
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT:VARIABLESPEEDFAN,Design Size Maximum Heating Air Flow Rate,4
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT:VARIABLESPEEDFAN,Design Size Maximum Hot Water or Steam Flow Rate,12
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT:VARIABLESPEEDFAN,Maximum Cooling Air Flow Rate,3
