Component Type,Input Field Description
COIL:HEATING:DX:VARIABLESPEED,User-Specified Rated Total Cooling Capacity
COIL:HEATING:DX:VARIABLESPEED,Design Size Nominal Heating Capacity
COIL:HEATING:DX:VARIABLESPEED,Design Size Rated Air Flow Rate
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Rated Heating Capacity
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,User-Specified Rated Air Flow Rate
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,User-Specified Rated Heating Capacity
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Rated Air Flow Rate
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Rated Water Flow Rate
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Rated Water Flow Rate
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Rated Air Flow Rate
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Nominal Heating Capacity
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,User-Specified Rated Air Flow Rate
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,User-Specified Nominal Heating Capacity
COIL:WATERHEATING:WATERHEATING:AIRTOWATERHEATPUMP:VARIABLESPEED,User-Specified Rated Total Cooling Capacity
COIL:WATERHEATING:WATERHEATING:AIRTOWATERHEATPUMP:VARIABLESPEED,User-Specified Rated Air Flow Rate
COIL:WATERHEATING:WATERHEATING:AIRTOWATERHEATPUMP:VARIABLESPEED,Design Size Rated Air Flow Rate
Chiller:Absorption,Design Size Nominal Pumping Power
Chiller:Absorption,User-Specified Nominal Pumping Power
Chiller:Absorption,User-Specified Design Chilled Water Flow Rate
Chiller:Absorption,User-Specified Design Condenser Water Flow Rate
Chiller:Absorption,User-Specified Nominal Capacity
Chiller:Absorption:DoubleEffect,User-Specified Nominal Capacity
Chiller:CombustionTurbine,User-Specified Design Size Nominal Capacity
Chiller:CombustionTurbine,User-Specified Design Chilled Water Flow Rate
Chiller:CombustionTurbine,User-Specified Design Condenser Water Flow Rate
Chiller:CombustionTurbine,Design Size Design Condenser Water Flow Rate
Chiller:CombustionTurbine,Design Size Design Heat Recovery Fluid Flow Rate
Chiller:CombustionTurbine,Design Size Gas Turbine Engine Capacity
Chiller:CombustionTurbine,Design Size Nominal Capacity
Chiller:CombustionTurbine,Design size Design Chilled Water Flow Rate
Chiller:CombustionTurbine,User-Specified Gas Turbine Engine Capacity
Chiller:ConstantCOP,Design Size Nominal Capacity
Chiller:ConstantCOP,User-Specified Design Chilled Water Flow Rate
Chiller:ConstantCOP,User-Specified Design Condenser Water Flow Rate
Chiller:ConstantCOP,User-Specified Nominal Capacity
Chiller:ConstantCOP,Design Size Design Chilled Water Flow Rate
Chiller:Electric,Design Size Nominal Capacity
Chiller:Electric,User-Specified Design Chilled Water Flow Rate
Chiller:Electric,Design Size Design Chilled Water Flow Rate
Chiller:Electric,Design Size Design Condenser Water Flow Rate
Chiller:Electric,User-Specified Nominal Capacity
Chiller:Electric,User-Specified Design Condenser Water Flow Rate
Chiller:Electric,User-Specified Design Heat Recovery Fluid Flow Rate
Chiller:Electric,Initial Design Size Nominal Capacity
Chiller:Electric,Initial Design Size Design Chilled Water Flow Rate
Chiller:Electric,Initial Design Size Design Condenser Water Flow Rate
Chiller:Electric,Design Size Design Heat Recovery Fluid Flow Rate
Chiller:Electric:ASHRAE205,User-Specified Rated Capacity
Chiller:Electric:ASHRAE205,Design Size Condenser Maximum Requested Flow Rate
Chiller:Electric:ASHRAE205,User-Specified Condenser Maximum Requested Flow Rate
Chiller:Electric:ASHRAE205,User-Specified Chilled Water Maximum Requested Flow Rate
Chiller:Electric:ASHRAE205,Design Size Chilled Water Maximum Requested Flow Rate
Chiller:Electric:ASHRAE205,Design Size Rated Capacity
Chiller:Electric:EIR,Design Size Reference Capacity
Chiller:Electric:EIR,Design Size Reference Condenser Fluid Flow Rate 
Chiller:Electric:EIR,Design Size Reference Condenser Fluid Flow Rate
Chiller:Electric:EIR,Initial Design Size Reference Capacity
Chiller:Electric:EIR,Initial Design Size Reference Chilled Water Flow Rate
Chiller:Electric:EIR,Design Size Reference Chilled Water Flow Rate
Chiller:Electric:EIR,User-Specified Reference Chilled Water Flow Rate
Chiller:Electric:EIR,User-Specified Reference Capacity
Chiller:Electric:EIR,User-Specified Reference Condenser Fluid Flow Rate
Chiller:Electric:EIR,Design Size Heat Recovery Water Flow Rate
Chiller:Electric:ReformulatedEIR,User-Specified Reference Chilled Water Flow Rate
Chiller:Electric:ReformulatedEIR,User-Specified Reference Capacity
Chiller:Electric:ReformulatedEIR,Design Size Reference Condenser Water Flow Rate
Chiller:Electric:ReformulatedEIR,Initial Design Size Reference Chilled Water Flow Rate
Chiller:Electric:ReformulatedEIR,Design Size Reference Capacity
Chiller:Electric:ReformulatedEIR,Design Size Reference Chilled Water Flow Rate
Chiller:Electric:ReformulatedEIR,Initial Design Size Reference Capacity
Chiller:Electric:ReformulatedEIR,Initial Design Size Reference Condenser Water Flow Rate
Chiller:EngineDriven,User-Specified Design Heat Recovery Fluid Flow Rate
Chiller:EngineDriven,User-Specified Design Condenser Water Flow Rate
Chiller:EngineDriven,Initial Design Size Nominal Capacity
Chiller:EngineDriven,Design Chilled Water Flow Rate
Chiller:EngineDriven,Design Size Design Condenser Water Flow Rate
Chiller:EngineDriven,Design Size Design Heat Recovery Fluid Flow Rate
Chiller:EngineDriven,Design Size Nominal Capacity
Chiller:EngineDriven,User-Specified Nominal Capacity
Chiller:EngineDriven,Initial Design Chilled Water Flow Rate
Chiller:EngineDriven,User-Specified Design Chilled Water Flow Rate
Chiller:EngineDriven,Initial Design Size Design Condenser Water Flow Rate
ChillerHeater:Absorption:DirectFired,User-Specified Nominal Capacity
ChillerHeater:Absorption:DirectFired,User-Specified Design Condenser Water Flow Rate
ChillerHeater:Absorption:DirectFired,User-Specified Design Chilled Water Flow Rate
ChillerHeater:Absorption:DirectFired,User-Specified Design Hot Water Flow Rate
ChillerHeater:Absorption:DoubleEffect,User-Specified Design Chilled Water Flow Rate
ChillerHeater:Absorption:DoubleEffect,User-Specified Design Hot Water Flow Rate
ChillerHeater:Absorption:DoubleEffect,User-Specified Design Condenser Water Flow Rate
ChillerHeaterPerformance:Electric:EIR,User-Specified Reference Condenser Water Flow Rate
ChillerHeaterPerformance:Electric:EIR,Design Size Reference Capacity
ChillerHeaterPerformance:Electric:EIR,User-Specified Reference Chilled Water Flow Rate
ChillerHeaterPerformance:Electric:EIR,Design Size Reference Condenser Water Flow Rate
ChillerHeaterPerformance:Electric:EIR,User-Specified Reference Capacity
ChillerHeaterPerformance:Electric:EIR,Design Size Reference Chilled Water Flow Rate
Coil:Cooling:DX:CurveFit:OperatingMode,User-Specified Rated Gross Total Cooling Capacity
Coil:Cooling:DX:CurveFit:OperatingMode,User-Specified Rated Evaporator Air Flow Rate
Coil:Cooling:DX:CurveFit:OperatingMode,Design Size Rated Condenser Air Flow Rate
Coil:Cooling:DX:CurveFit:OperatingMode,Design Size Rated Evaporator Air Flow Rate
Coil:Cooling:DX:CurveFit:OperatingMode,User-Specified Rated Condenser Air Flow Rate
Coil:Cooling:DX:CurveFit:OperatingMode,Design Size Rated Gross Total Cooling Capacity
Coil:Cooling:DX:CurveFit:Speed,User-Specified Rated Air Flow Rate
Coil:Cooling:DX:CurveFit:Speed,User-Specified Gross Sensible Heat Ratio
Coil:Cooling:DX:CurveFit:Speed,User-Specified Gross Cooling Capacity
Coil:Cooling:DX:CurveFit:Speed,Design Size Gross Sensible Heat Ratio
Coil:Cooling:DX:CurveFit:Speed,Design Size Gross Cooling Capacity
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 1 Rated Evaporative Condenser Pump Power Consumption
Coil:Cooling:DX:MultiSpeed,Design Size Speed 1 Rated Air Flow Rate
Coil:Cooling:DX:MultiSpeed,Design Size Speed 2 Gross Rated Cooling COP
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 2 Rated Evaporative Condenser Pump Power Consumption
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 2 Rated Sensible Heat Ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 2 Evaporative Condenser Air Flow Rate
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 1 Evaporative Condenser Air Flow Rate
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 2 Evaporative Condenser Air Flow Rate
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 3 Evaporative Condenser Effectiveness
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 4 Gross Rated Total Cooling Capacity
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 1 Rated Sensible Heat Ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 3 Gross Rated Sensible Heat Ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 3 Rated Sensible Heat Ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 1 Rated Evaporative Condenser Pump Power Consumption
Coil:Cooling:DX:MultiSpeed,Design Size Speed 2 Rated Sensible Heat Ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 1 Rated Sensible Heat Ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 1 Evaporative Condenser Air Flow Rate
Coil:Cooling:DX:MultiSpeed,Design Size Speed 1 Gross Rated Total Cooling Capacity
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 3 Gross Rated Sensible Heat Ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 2 Rated Evaporative Condenser Pump Power Consumption
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 4 Rated Sensible Heat Ratio
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 1 Rated Air Flow Rate
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 1 Gross Rated Total Cooling Capacity
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 2 Gross Rated Cooling COP
Coil:Cooling:DX:MultiSpeed,User-Specified Speed 3 Rated Sensible Heat Ratio
Coil:Cooling:DX:SingleSpeed,Design Size Rated Air Flow Rate
Coil:Cooling:DX:SingleSpeed,User-Specified Gross Rated Sensible Heat Ratio
Coil:Cooling:DX:SingleSpeed,User-Specified Gross Rated Total Cooling Capacity
Coil:Cooling:DX:SingleSpeed,User-Specified Rated Air Flow Rate
Coil:Cooling:DX:SingleSpeed,Design Size Gross Rated Sensible Heat Ratio
Coil:Cooling:DX:SingleSpeed,Design Size Gross Rated Total Cooling Capacity
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Fluid Storage Volume
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Cooling And Charge Mode Rated Storage Charging Capacity
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Condenser Air Flow Rate
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Charge Only Mode Rated Storage Charging Capacity
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Discharge Only Mode Rated Storage Discharging Capacity
