PA,bldgtype,bldgloc,bldghvac,wtval
Any,MFm,CZ16,rNCGF,326.1
Any,MFm,CZ16,rNCOH,7568.1
Any,SFm,CZ01,rDXEF,0.01
Any,SFm,CZ01,rDXEH,0.01
Any,SFm,CZ01,rDXGF,7262.6
Any,SFm,CZ01,rDXHP,71.5
Any,SFm,CZ01,rDXHW,0.01
Any,SFm,CZ01,rDXOH,142.3
Any,SFm,CZ01,rDXWP,0.01
Any,SFm,CZ01,rEVEF,0.01
Any,SFm,CZ01,rEVEH,0.01
Any,SFm,CZ01,rEVGF,0.01
Any,SFm,CZ01,rEVOH,0.01
Any,SFm,CZ01,rNCEF ,0.01
Any,SFm,CZ01,rNCEH,33.1
Any,SFm,CZ01,rNCGF,240.1
Any,SFm,CZ01,rNCOH,99.9
Any,SFm,CZ02,rDXEF,24403.4
Any,SFm,CZ02,rDXEH,1265.7
Any,SFm,CZ02,rDXGF,68940.1
Any,SFm,CZ02,rDXHP,9289.8
Any,SFm,CZ02,rDXHW,159.4
Any,SFm,CZ02,rDXOH,10665.2
Any,SFm,CZ02,rDXWP,0.01
Any,SFm,CZ02,rEVEF,0.01
Any,SFm,CZ02,rEVEH,0.01
Any,SFm,CZ02,rEVGF,254.8
Any,SFm,CZ02,rEVOH,1584.5
Any,SFm,CZ02,rNCEF ,7927.5
Any,SFm,CZ02,rNCEH,288.3
Any,SFm,CZ02,rNCGF,13409.2
Any,SFm,CZ02,rNCOH,18730.0
Any,SFm,CZ03,rDXEF,25375.7
Any,SFm,CZ03,rDXEH,407.7
Any,SFm,CZ03,rDXGF,125189.0
Any,SFm,CZ03,rDXHP,2752.6
Any,SFm,CZ03,rDXHW,2280.3
Any,SFm,CZ03,rDXOH,24578.1
Any,SFm,CZ03,rDXWP,0.01
Any,SFm,CZ03,rEVEF,0.01
Any,SFm,CZ03,rEVEH,0.01
Any,SFm,CZ03,rEVGF,611.1
Any,SFm,CZ03,rEVOH,273.5
Any,SFm,CZ03,rNCEF ,2644.7
Any,SFm,CZ03,rNCEH,3098.2
Any,SFm,CZ03,rNCGF,36638.2
Any,SFm,CZ03,rNCOH,16044.6
Any,SFm,CZ04,rDXEF,16582.4
Any,SFm,CZ04,rDXEH,771.4
Any,SFm,CZ04,rDXGF,178774.0
Any,SFm,CZ04,rDXHP,10630.6
Any,SFm,CZ04,rDXHW,736.0
Any,SFm,CZ04,rDXOH,7742.1
Any,SFm,CZ04,rDXWP,0.01
Any,SFm,CZ04,rEVEF,5925.4
Any,SFm,CZ04,rEVEH,126.9
Any,SFm,CZ04,rEVGF,379.4
Any,SFm,CZ04,rEVOH,92.7
Any,SFm,CZ04,rNCEF ,529.4
Any,SFm,CZ04,rNCEH,401.0
Any,SFm,CZ04,rNCGF,21213.1
Any,SFm,CZ04,rNCOH,24439.2
Any,SFm,CZ05,rDXEF,5393.4
Any,SFm,CZ05,rDXEH,0.01
Any,SFm,CZ05,rDXGF,3575.5
Any,SFm,CZ05,rDXHP,138.0
Any,SFm,CZ05,rDXHW,0.01
Any,SFm,CZ05,rDXOH,284.3
Any,SFm,CZ05,rDXWP,0.01
Any,SFm,CZ05,rEVEF,0.01
Any,SFm,CZ05,rEVEH,0.01
Any,SFm,CZ05,rEVGF,106.5
Any,SFm,CZ05,rEVOH,145.8
Any,SFm,CZ05,rNCEF ,0.01
Any,SFm,CZ05,rNCEH,53.0
Any,SFm,CZ05,rNCGF,1290.8
Any,SFm,CZ05,rNCOH,494.1
Any,SFm,CZ06,rDXEF,22037.7
Any,SFm,CZ06,rDXEH,4251.9
Any,SFm,CZ06,rDXGF,250101.0
Any,SFm,CZ06,rDXHP,6365.2
Any,SFm,CZ06,rDXHW,558.4
Any,SFm,CZ06,rDXOH,13151.6
Any,SFm,CZ06,rDXWP,0.01
Any,SFm,CZ06,rEVEF,3197.8
Any,SFm,CZ06,rEVEH,0.01
Any,SFm,CZ06,rEVGF,4805.5
Any,SFm,CZ06,rEVOH,1671.8
Any,SFm,CZ06,rNCEF ,434.6
Any,SFm,CZ06,rNCEH,2259.5
Any,SFm,CZ06,rNCGF,36414.4
Any,SFm,CZ06,rNCOH,38900.5
Any,SFm,CZ07,rDXEF,13321.7
Any,SFm,CZ07,rDXEH,678.7
Any,SFm,CZ07,rDXGF,156836.0
Any,SFm,CZ07,rDXHP,5429.4
Any,SFm,CZ07,rDXHW,3109.6
Any,SFm,CZ07,rDXOH,26123.5
Any,SFm,CZ07,rDXWP,0.01
Any,SFm,CZ07,rEVEF,0.01
Any,SFm,CZ07,rEVEH,0.01
Any,SFm,CZ07,rEVGF,82.1
Any,SFm,CZ07,rEVOH,294.0
Any,SFm,CZ07,rNCEF ,4688.9
Any,SFm,CZ07,rNCEH,4201.1
Any,SFm,CZ07,rNCGF,31719.4
Any,SFm,CZ07,rNCOH,46194.4
Any,SFm,CZ08,rDXEF,30634.9
Any,SFm,CZ08,rDXEH,4207.3
Any,SFm,CZ08,rDXGF,375140.0
Any,SFm,CZ08,rDXHP,17532.8
Any,SFm,CZ08,rDXHW,545.0
Any,SFm,CZ08,rDXOH,24379.4
