Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
Epr,M1,CZ02,cPVVG,66092756971.02,0,1083689814.7,253755261462.27,0,85622912462.19,,,,
Epr,M1,CZ03,cPVVG,32295310108.59,0,51767532.46,153169536599.41,0,45364398526.59,,,,
Epr,M1,CZ04,cPVVG,51052863948.44,0,5604593030.36,197840550288.36,0,149733192062.74,,,,
Epr,M1,CZ05,cPVVG,18828463914.77,0,63577950.38,135037948095.74,0,54979994645.48,,,,
Epr,M1,CZ06,cPVVG,191319811.67,0,139953688.05,33958751612.89,0,108964349585.11,,,,
Epr,M1,CZ07,cPVVG,0,0,187789934.08,32383771295.97,0,112090713111.05,,,,
Epr,M1,CZ08,cPVVG,1012571771.99,0,2829197864.5,43003868325.43,0,177660455286.7,,,,
Epr,M1,CZ09,cPVVG,6464486669.49,0,4183713128.31,58653332328.95,0,176094486367.18,,,,
Epr,M1,CZ10,cPVVG,5316830364.59,0,5548464747.42,62509693479.48,0,196816048508.22,,,,
Epr,M1,CZ11,cPVVG,75978783256.7,0,15296503919.19,234696960010.37,0,220012704358.61,,,,
Epr,M1,CZ12,cPVVG,81119003185.51,0,5675622191.63,236851574881.8,0,149909687027.81,,,,
Epr,M1,CZ13,cPVVG,79099990268.08,0,15168942574.69,200131266008.74,0,234957482007.79,,,,
Epr,M1,CZ14,cPVVG,52076117968.72,0,11435745741.91,179596563419.45,0,219587537121.28,,,,
Epr,M1,CZ15,cPVVG,3619020271.32,0,44299165818.68,25258414877.36,0,424597187182.37,,,,
Epr,M1,CZ16,cPVVG,91121812270.99,0,494350491.17,400213513747.27,0,67627564973.53,,,,
ERC,M1,CZ01,cDXGF,7488627599.04,0,0,24563446504.76,0,66776730.24,,,,
ERC,M1,CZ02,cDXGF,5340125501.8,0,49664052.5,14607154919.71,0,3584431313.39,,,,
ERC,M1,CZ03,cDXGF,2973638164.01,0,0,9364645474.99,0,1488034199.77,,,,
ERC,M1,CZ04,cDXGF,4530372163.1,0,462599801.25,11472541551.76,0,6939441204.97,,,,
ERC,M1,CZ05,cDXGF,2195452491.39,0,0,8162930396.75,0,1900157795.9,,,,
ERC,M1,CZ06,cDXGF,244180407.17,0,5911568.48,1842311105.08,0,4199074811.79,,,,
ERC,M1,CZ07,cDXGF,15551072.5,0,12891454.14,1520422380.4,0,4604887670.51,,,,
ERC,M1,CZ08,cDXGF,371293021.83,0,266878568.91,2231087557.68,0,8051676010.53,,,,
ERC,M1,CZ09,cDXGF,890708651.26,0,404563922.08,3188765723.76,0,8200480147.51,,,,
ERC,M1,CZ10,cDXGF,753728976.52,0,507216132.57,3254748962.13,0,9134623244.84,,,,
ERC,M1,CZ11,cDXGF,5398580024.34,0,1309219143.33,13009033770.24,0,11002030715.24,,,,
ERC,M1,CZ12,cDXGF,5568542722.25,0,499656762.78,13027818684.11,0,6991257203.61,,,,
