Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
Asm,M3,CZ15,cPVVG,0.0,0.0,1625061343.19,13940424.55,0.0,900579004482.08,,,,
Asm,M3,CZ16,cPVVG,0.0,0.0,4208616.24,7672549779.11,0.0,615503043501.65,,,,
Asm,M4,CZ01,cDXGF,0.0,0.0,0.0,1323453830745.17,0.0,51379936602.3,,,,
Asm,M4,CZ02,cDXGF,0.0,0.0,0.0,933731294940.23,0.0,353565304770.72,,,,
Asm,M4,CZ03,cDXGF,0.0,0.0,0.0,588225802223.68,0.0,211316990970.69,,,,
Asm,M4,CZ04,cDXGF,0.0,0.0,0.0,749078348729.72,0.0,578399151232.88,,,,
Asm,M4,CZ05,cDXGF,0.0,0.0,0.0,573139983099.33,0.0,246477828241.9,,,,
Asm,M4,CZ06,cDXGF,0.0,0.0,0.0,148020325397.29,0.0,413494014603.06,,,,
Asm,M4,CZ07,cDXGF,0.0,0.0,0.0,130772183426.12,0.0,421826091143.68,,,,
Asm,M4,CZ08,cDXGF,0.0,0.0,763873.09,190498013969.96,0.0,623194482357.55,,,,
Asm,M4,CZ09,cDXGF,0.0,0.0,2403139.94,253042625475.43,0.0,642638135341.2,,,,
Asm,M4,CZ10,cDXGF,0.0,0.0,2276801.88,275619829493.48,0.0,723876328209.22,,,,
Asm,M4,CZ11,cDXGF,0.0,0.0,53115989.71,774000406935.15,0.0,774888719228.12,,,,
Asm,M4,CZ12,cDXGF,0.0,0.0,0.0,784418810487.82,0.0,554824680235.35,,,,
Asm,M4,CZ13,cDXGF,0.0,0.0,106890851.05,657666997346.45,0.0,816600559504.52,,,,
Asm,M4,CZ14,cDXGF,0.0,0.0,42850647.79,649893939986.9,0.0,795180232499.05,,,,
Asm,M4,CZ15,cDXGF,0.0,0.0,11461312268.26,134459853702.85,0.0,1396101435938.94,,,,
Asm,M4,CZ16,cDXGF,0.0,0.0,1044708.65,1231840299469.14,0.0,296837906062.87,,,,
Asm,M4,CZ01,cDXHP,0.0,0.0,0.0,0.0,318488793718.24,50931958743.59,,,,
Asm,M4,CZ02,cDXHP,0.0,0.0,0.0,0.0,227667008519.22,355531179852.63,,,,
Asm,M4,CZ03,cDXHP,0.0,0.0,0.0,0.0,139821721064.82,211818816264.09,,,,
Asm,M4,CZ04,cDXHP,0.0,0.0,0.0,0.0,185345153999.97,579579380620.35,,,,
Asm,M4,CZ05,cDXHP,0.0,0.0,0.0,0.0,137142762543.58,248221397262.25,,,,
Asm,M4,CZ06,cDXHP,0.0,0.0,0.0,0.0,34470290161.51,398706168693.71,,,,
Asm,M4,CZ07,cDXHP,0.0,0.0,0.0,0.0,30400039549.4,408970970836.15,,,,
Asm,M4,CZ08,cDXHP,0.0,0.0,767003.0,0.0,44868937745.9,622292459608.23,,,,
Asm,M4,CZ09,cDXHP,0.0,0.0,2354500.11,0.0,60415618468.19,642945833974.56,,,,
Asm,M4,CZ10,cDXHP,0.0,0.0,2276800.89,0.0,65977751350.58,723911266113.56,,,,
Asm,M4,CZ11,cDXHP,0.0,0.0,53123587.64,0.0,191123680311.71,775142445326.14,,,,
Asm,M4,CZ12,cDXHP,0.0,0.0,0.0,0.0,191496763610.43,555729455077.86,,,,
Asm,M4,CZ13,cDXHP,0.0,0.0,106961818.9,0.0,161319088887.5,817043144264.14,,,,
Asm,M4,CZ14,cDXHP,0.0,0.0,42866640.34,0.0,166887749613.83,795720206908.37,,,,
Asm,M4,CZ15,cDXHP,0.0,0.0,11461312268.26,0.0,32130420436.55,1396101435938.93,,,,
Asm,M4,CZ16,cDXHP,0.0,0.0,1046464.99,0.0,345795912144.96,302211739363.56,,,,
Asm,M4,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,45067825839.5,,,,
Asm,M4,CZ02,cPTAC,0.0,0.0,0.0,0.0,0.0,339520841661.89,,,,
Asm,M4,CZ03,cPTAC,0.0,0.0,0.0,0.0,0.0,205766425040.67,,,,
Asm,M4,CZ04,cPTAC,0.0,0.0,0.0,0.0,0.0,564787131573.98,,,,
Asm,M4,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,234756760518.23,,,,
Asm,M4,CZ06,cPTAC,0.0,0.0,0.0,0.0,0.0,410903604381.32,,,,
Asm,M4,CZ07,cPTAC,0.0,0.0,0.0,0.0,0.0,419212039247.98,,,,
Asm,M4,CZ08,cPTAC,0.0,0.0,763873.09,0.0,0.0,618624702814.04,,,,
Asm,M4,CZ09,cPTAC,0.0,0.0,2402985.74,0.0,0.0,637262990307.07,,,,
Asm,M4,CZ10,cPTAC,0.0,0.0,2276798.13,0.0,0.0,717566550819.04,,,,
Asm,M4,CZ11,cPTAC,0.0,0.0,53115813.94,0.0,0.0,766802264034.82,,,,
Asm,M4,CZ12,cPTAC,0.0,0.0,0.0,0.0,0.0,547686735988.22,,,,
Asm,M4,CZ13,cPTAC,0.0,0.0,106890663.0,0.0,0.0,811384195063.68,,,,
Asm,M4,CZ14,cPTAC,0.0,0.0,42850644.32,0.0,0.0,782753703318.4,,,,
Asm,M4,CZ15,cPTAC,0.0,0.0,11461312268.25,0.0,0.0,1392534313292.62,,,,
Asm,M4,CZ16,cPTAC,0.0,0.0,1044708.61,0.0,0.0,289079014100.86,,,,
Asm,M4,CZ01,cPVVG,0.0,0.0,0.0,1544322763833.7,0.0,35152910235.17,,,,
Asm,M4,CZ02,cPVVG,0.0,0.0,0.0,1119657030611.97,0.0,313494647419.06,,,,
Asm,M4,CZ03,cPVVG,0.0,0.0,0.0,736254377707.85,0.0,173114541050.53,,,,
Asm,M4,CZ04,cPVVG,0.0,0.0,0.0,892711196876.19,0.0,526475860179.01,,,,
Asm,M4,CZ05,cPVVG,0.0,0.0,0.0,717953622034.82,0.0,204038038860.15,,,,
Asm,M4,CZ06,cPVVG,0.0,0.0,0.0,216658874386.78,0.0,350288495171.26,,,,
Asm,M4,CZ07,cPVVG,0.0,0.0,0.0,195040294230.97,0.0,354520364271.83,,,,
Asm,M4,CZ08,cPVVG,0.0,0.0,355069.24,264106951782.45,0.0,561996716276.73,,,,
Asm,M4,CZ09,cPVVG,0.0,0.0,1020528.1,333565942267.44,0.0,577679140006.45,,,,
Asm,M4,CZ10,cPVVG,0.0,0.0,858571.44,353820316940.88,0.0,661541917673.87,,,,
Asm,M4,CZ11,cPVVG,0.0,0.0,18040651.59,929387375677.31,0.0,722195619058.19,,,,
Asm,M4,CZ12,cPVVG,0.0,0.0,0.0,951615823045.0,0.0,507186665041.69,,,,
Asm,M4,CZ13,cPVVG,0.0,0.0,46046298.23,801852314859.36,0.0,762378544571.06,,,,
Asm,M4,CZ14,cPVVG,0.0,0.0,19280627.22,835161103952.52,0.0,732039913863.81,,,,
Asm,M4,CZ15,cPVVG,0.0,0.0,7486486125.03,186496740105.32,0.0,1326672299713.77,,,,
Asm,M4,CZ16,cPVVG,0.0,0.0,565702.33,1572012845065.46,0.0,246053973172.39,,,,
Asm,M5,CZ01,cDXGF,2154104372.1,0.0,316866324452.27,2154104372.1,0.0,316866324452.27,,,,
