TabularDataIndex,Value,ReportName,ReportForString,TableName,RowName,ColumnName,Units,File Name
6,57.57,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
2,733336.42,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
8,176.63,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
4,2249967.27,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ07/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,54.96,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,700080.74,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,166.32,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,2118656.75,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,56.11,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,714702.46,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,170.16,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,2167596.84,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
6,59.24,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
2,754611.86,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
8,180.62,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
4,2300842.0,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ08/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,56.74,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,722743.2,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,171.09,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,2179417.31,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,58.21,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,741547.75,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,176.03,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,2242392.57,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
6,61.21,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ09/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
