TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ10,9505.42,23675.21,5134.45
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ11,18020.51,32967.59,7319.75
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ12,17853.16,14454.77,4236.27
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ13,26893.29,42450.27,9924.5
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ14,26086.47,25181.75,6892.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ15,6908.09,75083.26,12945.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ16,31572.24,9448.51,5175.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ01,12722.18,1343.6,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ02,20512.55,7062.25,3183.17
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ03,19381.07,9164.01,3814.86
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ04,31956.33,17393.01,6017.97
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ05,21184.39,8211.12,3751.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ06,10552.61,10755.39,3283.2
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,MFm,CZ07,8533.14,8579.35,2621.08
