Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,68.0818
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,81.6257
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,104.8759
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,187.3244
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,59.2158
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,52.961
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,49.4848
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,49.3837
CZ11,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,46.2836
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,68.0818
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,81.7054
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,105.1707
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,187.3244
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,59.1647
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,52.8991
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,49.4848
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,49.3636
CZ11,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,46.2836
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,37.282
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,43.4121
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,53.9356
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,91.2533
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,33.269
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,30.438
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,28.8646
