Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
RtL,M5,cPTAC,Measure,CZ13,36.95444444444445,1913428949.8179173
RtL,M5,cPVVG,Base,CZ13,36.95444444444445,1897866448.292459
RtL,M5,cPVVG,Measure,CZ13,36.95444444444445,1897867281.911054
RtS,M1,cDXGF,Base,CZ13,36.95444444444445,142002979.47741863
RtS,M1,cDXGF,Measure,CZ13,36.95444444444445,142092237.52510795
RtS,M1,cDXHP,Base,CZ13,36.95444444444445,142710239.5377115
RtS,M1,cDXHP,Measure,CZ13,36.95444444444445,142772931.49980098
RtS,M1,cPTAC,Base,CZ13,36.95444444444445,142002979.4774169
RtS,M1,cPTAC,Measure,CZ13,36.95444444444445,142092237.52510425
RtS,M1,cPVVG,Base,CZ13,36.95444444444445,137707269.39571166
RtS,M1,cPVVG,Measure,CZ13,36.95444444444445,138211184.54513544
RtS,M2,cDXGF,Base,CZ13,36.95444444444445,129805117.51799889
RtS,M2,cDXGF,Measure,CZ13,36.95444444444445,129660833.83992799
RtS,M2,cDXHP,Base,CZ13,36.95444444444445,129932008.12439165
RtS,M2,cDXHP,Measure,CZ13,36.95444444444445,129782392.53721677
RtS,M2,cPTAC,Base,CZ13,36.95444444444445,129805117.51799628
RtS,M2,cPTAC,Measure,CZ13,36.95444444444445,129660833.83992396
RtS,M2,cPVVG,Base,CZ13,36.95444444444445,121945510.72839133
RtS,M2,cPVVG,Measure,CZ13,36.95444444444445,121836970.86738141
RtS,M3,cDXGF,Base,CZ13,36.95444444444445,121183931.75530353
RtS,M3,cDXGF,Measure,CZ13,36.95444444444445,121283423.05106448
RtS,M3,cDXHP,Base,CZ13,36.95444444444445,120854775.81545931
RtS,M3,cDXHP,Measure,CZ13,36.95444444444445,120954231.0998835
RtS,M3,cPTAC,Base,CZ13,36.95444444444445,121183931.7552978
RtS,M3,cPTAC,Measure,CZ13,36.95444444444445,121283423.0510496
RtS,M3,cPVVG,Base,CZ13,36.95444444444445,119964380.17813845
RtS,M3,cPVVG,Measure,CZ13,36.95444444444445,120065821.5366327
RtS,M4,cDXGF,Base,CZ13,36.95444444444445,142002963.01022416
RtS,M4,cDXGF,Measure,CZ13,36.95444444444445,142092233.87080836
RtS,M4,cDXHP,Base,CZ13,36.95444444444445,142710226.06923908
RtS,M4,cDXHP,Measure,CZ13,36.95444444444445,142772939.68472472
RtS,M4,cPTAC,Base,CZ13,36.95444444444445,142002963.01022294
RtS,M4,cPTAC,Measure,CZ13,36.95444444444445,142092233.87080476
RtS,M4,cPVVG,Base,CZ13,36.95444444444445,137707243.0113267
RtS,M4,cPVVG,Measure,CZ13,36.95444444444445,138211207.9741793
RtS,M5,cDXGF,Base,CZ13,36.95444444444445,132468880.01340058
RtS,M5,cDXGF,Measure,CZ13,36.95444444444445,132575645.51029383
RtS,M5,cDXHP,Base,CZ13,36.95444444444445,131580642.7361769
RtS,M5,cDXHP,Measure,CZ13,36.95444444444445,131701703.83228797
RtS,M5,cPTAC,Base,CZ13,36.95444444444445,132468880.01339883
RtS,M5,cPTAC,Measure,CZ13,36.95444444444445,132575645.51028652
RtS,M5,cPVVG,Base,CZ13,36.95444444444445,131523888.99781337
RtS,M5,cPVVG,Measure,CZ13,36.95444444444445,131634164.79817659
SCn,M1,cDXGF,Base,CZ13,36.95444444444445,2546864822.6235166
SCn,M1,cDXGF,Measure,CZ13,36.95444444444445,2546576818.7838497
SCn,M1,cDXHP,Base,CZ13,36.95444444444445,2546864823.455271
SCn,M1,cDXHP,Measure,CZ13,36.95444444444445,2546576818.7838497
SCn,M1,cPTAC,Base,CZ13,36.95444444444445,2546864823.9731917
SCn,M1,cPTAC,Measure,CZ13,36.95444444444445,2546576820.7159715
SCn,M1,cPVVG,Base,CZ13,36.95444444444445,2546572952.616884
SCn,M1,cPVVG,Measure,CZ13,36.95444444444445,2546432773.67751
SCn,M2,cDXGF,Base,CZ13,36.95444444444445,2400620711.9526334
SCn,M2,cDXGF,Measure,CZ13,36.95444444444445,2381807662.6726737
SCn,M2,cDXHP,Base,CZ13,36.95444444444445,2400620711.900507
SCn,M2,cDXHP,Measure,CZ13,36.95444444444445,2381807662.672649
SCn,M2,cPTAC,Base,CZ13,36.95444444444445,2400620711.930788
SCn,M2,cPTAC,Measure,CZ13,36.95444444444445,2381807000.642267
SCn,M2,cPVVG,Base,CZ13,36.95444444444445,2363730224.1667542
SCn,M2,cPVVG,Measure,CZ13,36.95444444444445,2355345310.949328
SCn,M3,cDXGF,Base,CZ13,36.95444444444445,2345718450.836541
SCn,M3,cDXGF,Measure,CZ13,36.95444444444445,2345718521.613223
SCn,M3,cDXHP,Base,CZ13,36.95444444444445,2345718521.613358
SCn,M3,cDXHP,Measure,CZ13,36.95444444444445,2345718521.6131797
SCn,M3,cPTAC,Base,CZ13,36.95444444444445,2345718521.6132364
SCn,M3,cPTAC,Measure,CZ13,36.95444444444445,2345718521.6131763
SCn,M3,cPVVG,Base,CZ13,36.95444444444445,2340113708.963961
SCn,M3,cPVVG,Measure,CZ13,36.95444444444445,2340113783.310239
SCn,M4,cDXGF,Base,CZ13,36.95444444444445,2546879696.829657
SCn,M4,cDXGF,Measure,CZ13,36.95444444444445,2546579334.9410996
SCn,M4,cDXHP,Base,CZ13,36.95444444444445,2546879696.829657
SCn,M4,cDXHP,Measure,CZ13,36.95444444444445,2546579334.9410996
SCn,M4,cPTAC,Base,CZ13,36.95444444444445,2546879690.3569164
SCn,M4,cPTAC,Measure,CZ13,36.95444444444445,2546579349.7992697
SCn,M4,cPVVG,Base,CZ13,36.95444444444445,2546582524.111497
SCn,M4,cPVVG,Measure,CZ13,36.95444444444445,2546438276.7981534
SCn,M5,cDXGF,Base,CZ13,36.95444444444445,2546422568.1634817
SCn,M5,cDXGF,Measure,CZ13,36.95444444444445,2546422568.1634817
SCn,M5,cDXHP,Base,CZ13,36.95444444444445,2546422573.805951
SCn,M5,cDXHP,Measure,CZ13,36.95444444444445,2546422573.805951
SCn,M5,cPTAC,Base,CZ13,36.95444444444445,2546422574.534961
