Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
ECC,M2,cPTAC,Base,CZ08,32.875,1894907069.2253966
ECC,M2,cPTAC,Measure,CZ08,32.875,1863945465.4923716
ECC,M2,cPVVG,Base,CZ08,32.875,1664812838.979407
ECC,M2,cPVVG,Measure,CZ08,32.875,1645976784.5939524
ECC,M3,cDXGF,Base,CZ08,32.875,1614070159.4284444
ECC,M3,cDXGF,Measure,CZ08,32.875,1494732761.112267
ECC,M3,cDXHP,Base,CZ08,32.875,1604231890.4645045
ECC,M3,cDXHP,Measure,CZ08,32.875,1484437190.6739323
ECC,M3,cPTAC,Base,CZ08,32.875,1614073972.597915
ECC,M3,cPTAC,Measure,CZ08,32.875,1494729314.9917405
ECC,M3,cPVVG,Base,CZ08,32.875,1591487319.3676069
ECC,M3,cPVVG,Measure,CZ08,32.875,1473197293.3383462
ECC,M4,cDXGF,Base,CZ08,32.875,2051436703.025796
ECC,M4,cDXGF,Measure,CZ08,32.875,2066864502.963661
ECC,M4,cDXHP,Base,CZ08,32.875,2057907886.6096506
ECC,M4,cDXHP,Measure,CZ08,32.875,2073534291.4754379
ECC,M4,cPTAC,Base,CZ08,32.875,2051437744.8108683
ECC,M4,cPTAC,Measure,CZ08,32.875,2066864502.9596295
ECC,M4,cPVVG,Base,CZ08,32.875,1864275413.608167
ECC,M4,cPVVG,Measure,CZ08,32.875,1906084230.2936125
ECC,M5,cDXGF,Base,CZ08,32.875,1680900491.2625072
ECC,M5,cDXGF,Measure,CZ08,32.875,1586268640.8062773
ECC,M5,cDXHP,Base,CZ08,32.875,1662331475.3521113
ECC,M5,cDXHP,Measure,CZ08,32.875,1568207593.857952
ECC,M5,cPTAC,Base,CZ08,32.875,1680896668.9256623
ECC,M5,cPTAC,Measure,CZ08,32.875,1586268641.3906863
ECC,M5,cPVVG,Base,CZ08,32.875,1657216950.1866446
ECC,M5,cPVVG,Measure,CZ08,32.875,1563491894.3177342
Epr,M1,cDXGF,Base,CZ08,32.875,327262055.3705569
Epr,M1,cDXGF,Measure,CZ08,32.875,331931745.3678276
Epr,M1,cDXHP,Base,CZ08,32.875,329082177.12812954
Epr,M1,cDXHP,Measure,CZ08,32.875,333849787.4141363
Epr,M1,cPTAC,Base,CZ08,32.875,327260387.8203553
Epr,M1,cPTAC,Measure,CZ08,32.875,331929899.2673681
Epr,M1,cPVVG,Base,CZ08,32.875,298500121.2153381
Epr,M1,cPVVG,Measure,CZ08,32.875,308303188.1175304
