Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ09\MLI\M3-cPTAC-Measure\instance0821205714\eplustbl.csv,M3,MLI,CZ09,cPTAC,Measure,615519.24,0.0,9291.61,0.0,0.0,152279.89,98741.33,273.0,0.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ10\MLI\M3-cPTAC-Measure\instance0821211635\eplustbl.csv,M3,MLI,CZ10,cPTAC,Measure,614956.78,0.0,9291.61,0.0,0.0,157089.63,97983.2,250.0,0.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ11\MLI\M3-cPTAC-Measure\instance0821213534\eplustbl.csv,M3,MLI,CZ11,cPTAC,Measure,640075.62,0.0,9291.61,0.0,0.0,153870.6,126801.93,979.0,3.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ12\MLI\M3-cPTAC-Measure\instance0821215254\eplustbl.csv,M3,MLI,CZ12,cPTAC,Measure,633250.05,0.0,9291.61,0.0,0.0,131619.75,114027.13,920.83,0.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ13\MLI\M3-cPTAC-Measure\instance0821221106\eplustbl.csv,M3,MLI,CZ13,cPTAC,Measure,655364.49,0.0,9291.61,0.0,0.0,170852.72,126901.3,793.33,6.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ14\MLI\M3-cPTAC-Measure\instance0821214204\eplustbl.csv,M3,MLI,CZ14,cPTAC,Measure,677954.68,0.0,9291.61,0.0,0.0,157297.97,122065.25,715.83,1.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ15\MLI\M3-cPTAC-Measure\instance0821200127\eplustbl.csv,M3,MLI,CZ15,cPTAC,Measure,720358.98,0.0,9291.61,0.0,0.0,249171.41,128698.87,101.17,15.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ16\MLI\M3-cPTAC-Measure\instance0821182730\eplustbl.csv,M3,MLI,CZ16,cPTAC,Measure,705940.82,0.0,9291.61,0.0,0.0,92116.12,139538.03,1421.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ01\MLI\M3-cPVVG-Base\instance0819143938\eplustbl.csv,M3,MLI,CZ01,cPVVG,Base,475667.88,693629.79,9291.61,0.0,104040.78,68380.94,33791.52,20.17,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ02\MLI\M3-cPVVG-Base\instance0819160235\eplustbl.csv,M3,MLI,CZ02,cPVVG,Base,543432.03,710913.58,9291.61,0.0,67018.34,124939.12,52207.38,13.5,0.0
