TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ12,4508.3746,1909.8775,916.1865
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ13,4525.8159,5340.3156,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ14,5570.3576,2601.3824,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ15,1209.3356,8951.6004,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,rDXHP,SFm,CZ16,3363.2385,524.8567,553.3869
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ01,5088.556,159.7712,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ02,10081.0196,2306.1408,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ03,7091.8864,2096.9868,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ04,9902.7116,5805.0208,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ05,7497.0648,1914.7504,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ06,4062.546,2768.9255,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ07,3542.663,1964.1035,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ08,3679.329,5939.036,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ09,5478.2568,5762.0193,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ10,2912.2312,4595.7298,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ11,5723.3715,6051.9455,1235.9302
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ12,6148.7053,3005.7482,916.1865
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ13,6198.1706,8404.5096,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ14,7665.12,4094.0172,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ15,1699.5856,14087.9024,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,rDXHP,SFm,CZ16,4408.221,826.0157,553.3869
